pathways	genes_1	genes_2	genes_3	genes_4	genes_5	genes_6	genes_7	genes_8	genes_9	genes_10	genes_11	genes_12	genes_13	genes_14	genes_15	genes_16	genes_17	genes_18	genes_19	genes_20	genes_21	genes_22	genes_23	genes_24	genes_25	genes_26	genes_27	genes_28	genes_29	genes_30	genes_31	genes_32	genes_33	genes_34	genes_35	genes_36	genes_37	genes_38	genes_39	genes_40	genes_41	genes_42	genes_43	genes_44	genes_45	genes_46	genes_47	genes_48	genes_49	genes_50	genes_51	genes_52	genes_53	genes_54	genes_55	genes_56	genes_57	genes_58	genes_59	genes_60	genes_61	genes_62	genes_63	genes_64	genes_65	genes_66	genes_67	genes_68	genes_69	genes_70	genes_71	genes_72	genes_73	genes_74	genes_75	genes_76	genes_77	genes_78	genes_79	genes_80	genes_81	genes_82	genes_83	genes_84	genes_85	genes_86	genes_87	genes_88
chen_metabolic_syndrom_network	ARRB2	CD3E	CD86	CSF1R	LCP2	PLAUR	PTPN22	PYCARD	SLC11A1	SPHK1	ADAM8	ADAMTS2	BCL2A1	CCNA2	CD244	CDKN2C	COL1A1	COL1A2	COL5A1	IFI16	LILRB4	SLAMF8	VIM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_acyl_coa_metabolic_process	ACAT1	MMUT	DLD	ACSL1	HSD17B12	SUCLA2	NUDT7	DLAT	SUCLG2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_alpha_amino_acid_metabolic_process	ACAT1	MMUT	AUH	ACADSB	ALDH6A1	IVD	MCCC2	HIBCH	ACAD8	ALDH8A1	HIBADH	IYD	CRYM	SHMT1	AGMAT	ASRGL1	DDAH1	GLYATL1	MSRA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_amino_acid_metabolic_process	ACAT1	MMUT	DLD	AUH	PCCA	ACADSB	ALDH6A1	IVD	MCCC2	HIBCH	ACAD8	ALDH8A1	DDC	HIBADH	IYD	CRYM	SHMT1	DBT	AGMAT	ASRGL1	DDAH1	GLYATL1	MSRA	BPHL	PEPD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_branched_chain_amino_acid_metabolic_process	ACAT1	DLD	AUH	PCCA	ACADSB	ALDH6A1	IVD	MCCC2	HIBCH	ACAD8	HIBADH	DBT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_cellular_lipid_metabolic_process	ACAT1	MMUT	ACSL1	ACADM	AUH	CROT	ACOX2	HSD17B12	PCCA	ACAA1	ACADSB	HADH	NUDT7	IVD	PPARA	ACOX1	CYP4A11	HMGCR	ABCD3	PHYH	PRKAA2	CBR4	EPHX2	HAO2	IDI1	PCK2	ALDH8A1	ECI2	FAAH2	FDFT1	PEX7	ADH6	BDH2	CRYL1	CEACAM1	ECHDC3	FMO4	RGN	ITPKB	NAPEPLD	ETNK2	MTMR10	PIGH	SGMS1	SLC44A4	FUT6	PDSS2	PNPLA4	PRKD1	SOCS2	SPNS2	CERKL	SORL1	ST6GALNAC3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_collagen_metabolic_process	TGFB1	ADAMTS2	COL1A1	COL1A2	COL5A1	MMP14	VIM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_fatty_acid_metabolic_process	ACAT1	MMUT	ACSL1	ACADM	AUH	CROT	ACOX2	HSD17B12	PCCA	ACAA1	ACADSB	HADH	NUDT7	IVD	PPARA	ACOX1	CYP4A11	ABCD3	PHYH	PRKAA2	CBR4	HAO2	PCK2	ECI2	FAAH2	PEX7	BDH2	CRYL1	CEACAM1	ECHDC3	FMO4	RGN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_generation_of_precursor_metabolites_and_energy	ACAT1	DLD	ACADM	CROT	SUCLA2	PPARA	ACOX1	DLAT	FBP1	PRKAA2	SUCLG2	NDUFS1	FDX1	FECH	KL	SDHD	SIRT6	ALDH1L1	NDUFC2	SDHC	SLC25A4	AGL	TP53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_lipid_metabolic_process	ACAT1	MMUT	ACSL1	ACADM	AUH	CROT	ACOX2	HSD17B12	PCCA	ACAA1	ACADSB	HADH	NUDT7	IVD	PPARA	ACOX1	CYP4A11	HMGCR	ABCD3	ACAD8	PHYH	PRKAA2	CBR4	EPHX2	HAO2	IDI1	PCK2	ALDH8A1	ECI2	FAAH2	FDFT1	PEX7	ADH6	BDH2	CRYL1	CEACAM1	ECHDC3	FDX1	FECH	FMO4	RGN	SIRT6	CYP51A1	ITPKB	NAPEPLD	PBX1	TSPO	ETNK2	MTMR10	PIGH	SGMS1	SLC44A4	ATP1A1	EGR1	FAXDC2	FUT6	PDSS2	PNPLA4	PRKD1	SOCS2	SPNS2	AOX1	CERKL	SORL1	ST6GALNAC3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_monocarboxylic_acid_metabolic_process	ACAT1	MMUT	DLD	ACSL1	ACADM	AUH	CROT	ACOX2	HSD17B12	PCCA	ACAA1	ACADSB	HADH	NUDT7	IVD	PPARA	ACOX1	CYP4A11	DLAT	FBP1	ABCD3	PHYH	PRKAA2	CBR4	HAO2	PCK2	ALDH8A1	ECI2	FAAH2	PEX7	ADH6	BDH2	CRYL1	GATM	CEACAM1	ECHDC3	FMO4	RGN	SIRT6	BTD	IDNK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_nucleoside_bisphosphate_metabolic_process	ACAT1	MMUT	DLD	ACSL1	CROT	HSD17B12	SUCLA2	NUDT7	MCCC2	DLAT	HMGCR	SUCLG2	PANK1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_organic_acid_metabolic_process	ACAT1	MMUT	DLD	ACSL1	ACADM	AUH	CROT	ACOX2	HSD17B12	PCCA	SUCLA2	ACAA1	ACADSB	HADH	NUDT7	ALDH6A1	IVD	MCCC2	PPARA	ACOX1	CYP4A11	DLAT	FBP1	HIBCH	ABCD3	ACAD8	PHYH	CBR4	HAO2	PCK2	SUCLG2	ALDH8A1	DDC	FAAH2	HIBADH	IYD	PEX7	ADH6	BDH2	CRYL1	CRYM	GATM	SHMT1	CEACAM1	DBT	ECHDC3	FMO4	RGN	AGMAT	ALDH1L1	ASRGL1	BTD	DDAH1	GLYATL1	L2HGDH	MSRA	IDNK	GHR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_organic_hydroxy_compound_metabolic_process	ACOX2	ACAA1	CYP4A11	HMGCR	ABCD3	CBR4	EPHX2	IDI1	PCK2	DDC	FDFT1	IYD	ADH6	CRYM	FDX1	FECH	KL	PTH1R	CYP51A1	ITPKB	NAPEPLD	NUDT4	FAXDC2	PRKN	GCNT4	RNF180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_organophosphate_metabolic_process	ACAT1	MMUT	DLD	ACSL1	CROT	HSD17B12	SUCLA2	NUDT7	MCCC2	PPARA	DLAT	FBP1	HMGCR	PRKAA2	IDI1	PCK2	SUCLG2	FDFT1	NDUFS1	CRYL1	SHMT1	PNP	PTH1R	SDHD	SIRT6	ALDH1L1	ITPKB	NAPEPLD	NDUFC2	NUDT4	PANK1	SDHC	TSPO	ATP1B1	DMAC2L	ETNK2	MAGI3	MTMR10	PDE7B	PIGH	SGMS1	SLC44A4	ADAL	SOCS2	AK7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_phenol_containing_compound_metabolic_process	DDC	IYD	CRYM	KL	PRKN	GCNT4	RNF180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_positive_regulation_of_protein_metabolic_process	ARRB2	CD3E	CD86	CSF1R	LCP2	PLAUR	PTPN22	PYCARD	SLC11A1	SPHK1	TGFB1	ADAM8	AGAP2	AGER	BAX	BCL2A1	CAV1	CCL5	CCND2	CCR7	CD44	CD6	CDK5RAP3	CENPE	EZH2	IFI16	IQGAP3	ITGA5	LILRB2	MAP3K12	MMP14	NOD2	OSM	PIK3R6	PLK1	RARRES2	TLR6	TNFRSF10B	TNK2	TPX2	TRIB3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_purine_containing_compound_metabolic_process	ACAT1	MMUT	DLD	ACSL1	CROT	HSD17B12	SUCLA2	NUDT7	MCCC2	PPARA	DLAT	FBP1	HMGCR	PRKAA2	PCK2	SUCLG2	NDUFS1	SHMT1	PNP	SDHD	SIRT6	ALDH1L1	NDUFC2	NUDT4	PANK1	SDHC	TSPO	ATP1B1	DMAC2L	MAGI3	PDE7B	ADAL	CARMIL1	TP53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_regulation_of_phosphorus_metabolic_process	ARRB2	CD3E	CD86	CSF1R	LCP2	PLAUR	PTPN22	PYCARD	SLC11A1	SPHK1	TGFB1	AGAP2	AGER	BAX	CAV1	CCL5	CCNA2	CCND2	CCR7	CD244	CD44	CD6	CDK5RAP3	CDKN2C	CENPE	EZH2	IQGAP3	ITGA5	LILRB2	LILRB4	MAP3K12	NOD2	OSM	PIK3R6	PLK1	RARRES2	SLAMF8	TLR6	TNFRSF10B	TNK2	TPX2	TRIB3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_ribose_phosphate_metabolic_process	ACAT1	MMUT	DLD	ACSL1	CROT	HSD17B12	SUCLA2	NUDT7	MCCC2	PPARA	DLAT	FBP1	HMGCR	PRKAA2	SUCLG2	NDUFS1	PNP	SDHD	SIRT6	NDUFC2	NUDT4	PANK1	SDHC	TSPO	ATP1B1	DMAC2L	MAGI3	PDE7B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gobp_small_molecule_metabolic_process	ACAT1	MMUT	DLD	ACSL1	ACADM	AUH	CROT	ACOX2	HSD17B12	PCCA	SUCLA2	ACAA1	ACADSB	HADH	NUDT7	ALDH6A1	IVD	MCCC2	PPARA	ACOX1	CYP4A11	DLAT	FBP1	HIBCH	HMGCR	ABCD3	ACAD8	PHYH	CBR4	EPHX2	HAO2	IDI1	PCK2	SUCLG2	ALDH8A1	DDC	FAAH2	FDFT1	HIBADH	IYD	NDUFS1	PEX7	ADH6	BDH2	CRYL1	CRYM	GATM	SHMT1	CEACAM1	DBT	ECHDC3	FDX1	FECH	FMO4	PNP	PTH1R	RGN	SDHD	AGMAT	ALDH1L1	ASRGL1	BTD	CYP51A1	ITPKB	NAPEPLD	NDUFC2	NUDT4	PANK1	ATP1B1	DDAH1	DMAC2L	GLYATL1	L2HGDH	MAGI3	MSRA	PDE7B	ADAL	EGR1	FUT6	GALM	IDNK	PDSS2	PRKN	AK7	CA4	CARMIL1	GHR	SLC16A12
gobp_steroid_metabolic_process	ACOX2	HSD17B12	ACAA1	HMGCR	ABCD3	EPHX2	IDI1	FDFT1	FDX1	FECH	CYP51A1	PBX1	ATP1A1	EGR1	FAXDC2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hallmark_bile_acid_metabolism	ACSL1	CROT	ABCD3	PHYH	EPHX2	IDI1	ALDH8A1	PEX7	NR3C2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hallmark_fatty_acid_metabolism	DLD	ACSL1	ACADM	AUH	SUCLA2	ACAA1	HADH	PPARA	ACOX1	CYP4A11	HIBCH	HAO2	IDI1	SUCLG2	ECI2	SDHD	SDHC	ALAD	BPHL	CA4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hallmark_xenobiotic_metabolism	CROT	ACOX2	FBP1	BPHL	AOX1	PLG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hp_abnormal_circulating_metabolite_concentration	ACAT1	MMUT	DLD	ACADM	ACOX2	PCCA	SUCLA2	HADH	ALDH6A1	FBP1	HMGCR	ABCD3	ACAD8	PHYH	EPHX2	FDFT1	IYD	NDUFS1	PEX7	GATM	FECH	KL	PNP	PTH1R	BTD	PBX1	CLCN5	L2HGDH	PIGH	ALAD	ATP1A1	GALM	NR3C2	PKHD1	SLC25A4	AGL	ARHGAP24	CASR	MYO5B	PLG	SLC6A19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hp_abnormal_csf_metabolite_concentration	DLD	SUCLA2	DLAT	DDC	NDUFS1	SLC25A4	GFM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hp_abnormal_metabolism	MMUT	ACOX2	SUCLA2	ALDH6A1	DLAT	KL	PTH1R	CLCN5	GALM	PKHD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hp_abnormal_urine_metabolite_level	ACAT1	MMUT	ACADM	AUH	PCCA	SUCLA2	ACADSB	HADH	ALDH6A1	FBP1	HIBCH	ACAD8	GATM	PNP	PBX1	CLCN5	L2HGDH	ALAD	ARHGAP24	CASR	PEPD	SLC16A12	SLC6A19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hp_abnormality_of_vitamin_metabolism	MMUT	ACOX2	SUCLA2	ALDH6A1	KL	PTH1R	CLCN5	PKHD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hp_metabolic_acidosis	ACAT1	MMUT	DLD	ACADM	AUH	PCCA	ALDH6A1	IVD	MCCC2	FBP1	HIBCH	NDUFS1	GATM	BTD	PBX1	NR3C2	GFM1	MYO5B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kegg_fatty_acid_metabolism	ACAT1	ACSL1	ACADM	ACAA1	ACADSB	HADH	ACOX1	CYP4A11	ECI2	ADH6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
reactome_fatty_acid_metabolism	MMUT	ACSL1	ACADM	CROT	ACOX2	HSD17B12	PCCA	ACAA1	HADH	NUDT7	ACOX1	CYP4A11	PHYH	PRKAA2	CBR4	EPHX2	HAO2	ECI2	FAAH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
reactome_metabolism_of_amino_acids_and_derivatives	ACAT1	DLD	AUH	ACADSB	ALDH6A1	IVD	MCCC2	HIBCH	ACAD8	DDC	HIBADH	IYD	CRYM	GATM	SHMT1	DBT	AGMAT	ASRGL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
reactome_metabolism_of_lipids	ACAT1	MMUT	ACSL1	ACADM	CROT	ACOX2	HSD17B12	PCCA	ACAA1	HADH	NUDT7	PPARA	ACOX1	CYP4A11	HMGCR	PHYH	PRKAA2	CBR4	EPHX2	HAO2	IDI1	ECI2	FAAH2	FDFT1	BDH2	FDX1	CYP51A1	TSPO	ETNK2	MTMR10	SGMS1	SLC44A4	PNPLA4	PRKD1	SPNS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
wp_amino_acid_metabolism	MMUT	DLD	ACADM	AUH	ACAA1	HADH	HIBCH	DDC	HIBADH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
wp_leucine_isoleucine_and_valine_metabolism	ACAT1	MMUT	DLD	AUH	PCCA	ACADSB	ALDH6A1	IVD	MCCC2	HIBCH	ACAD8	HIBADH	DBT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
